Country of disembarkation,Year,Arrivals
 People's Rep. of China,2005,n.ap
 People's Rep. of China,2006,n.ap
 People's Rep. of China,2007,n.ap
 People's Rep. of China,2008,n.ap
 People's Rep. of China,2009,n.ap
 People's Rep. of China,2010,n.ap
 People's Rep. of China,2011,1325
 People's Rep. of China,2012,2849
 People's Rep. of China,2013,2595
 People's Rep. of China,2014,2778
 People's Rep. of China,2015,3376
 People's Rep. of China,2016,3708
 People's Rep. of China,2017,5731
 People's Rep. of China,2018,2503
 People's Rep. of China,2019,2155
 People's Rep. of China,2020,144
 People's Rep. of China,2021,43
 People's Rep. of China,2022,1
 People's Rep. of China,2023,n.ap
 People's Rep. of China,2024,n.ap
 People's Rep. of China,2025,n.ap
 Reunion Island,1983,13450
 Reunion Island,1984,14240
 Reunion Island,1985,15230
 Reunion Island,1986,15040
 Reunion Island,1987,13580
 Reunion Island,1988,17120
 Reunion Island,1989,22570
 Reunion Island,1990,25950
 Reunion Island,1991,23680
 Reunion Island,1992,26110
 Reunion Island,1993,28520
 Reunion Island,1994,34317
 Reunion Island,1995,32962
 Reunion Island,1996,36127
 Reunion Island,1997,38941
 Reunion Island,1998,47162
 Reunion Island,1999,43826
 Reunion Island,2000,42096
 Reunion Island,2001,42331
 Reunion Island,2002,37245
 Reunion Island,2003,33980
 Reunion Island,2004,32274
 Reunion Island,2005,29994
 Reunion Island,2006,26661
 Reunion Island,2007,31311
 Reunion Island,2008,31493
 Reunion Island,2009,27484
 Reunion Island,2010,30366
 Reunion Island,2011,31642
 Reunion Island,2012,36615
 Reunion Island,2013,34582
 Reunion Island,2014,30887
 Reunion Island,2015,33710
 Reunion Island,2016,34228
 Reunion Island,2017,43561
 Reunion Island,2018,40081
 Reunion Island,2019,42719
 Reunion Island,2020,7842
 Reunion Island,2021,2991
 Reunion Island,2022,31464
 Reunion Island,2023,42127
 Reunion Island,2024,43625
 Reunion Island,2025,45684
 Saudi Arabia,1983,n.ap
 Saudi Arabia,1984,n.ap
 Saudi Arabia,1985,n.ap
 Saudi Arabia,1986,n.ap
 Saudi Arabia,1987,n.ap
 Saudi Arabia,1988,n.ap
 Saudi Arabia,1989,n.ap
 Saudi Arabia,1990,n.ap
 Saudi Arabia,1991,n.ap
 Saudi Arabia,1992,n.ap
 Saudi Arabia,1993,n.ap
 Saudi Arabia,1994,n.ap
 Saudi Arabia,1995,658
 Saudi Arabia,1996,1295
 Saudi Arabia,1997,1817
 Saudi Arabia,1998,1870
 Saudi Arabia,1999,2380
 Saudi Arabia,2000,2572
 Saudi Arabia,2001,1934
 Saudi Arabia,2002,1473
 Saudi Arabia,2003,960
 Saudi Arabia,2004,1942
 Saudi Arabia,2005,3257
 Saudi Arabia,2006,1383
 Saudi Arabia,2007,1379
 Saudi Arabia,2008,1288
 Saudi Arabia,2009,1229
 Saudi Arabia,2010,1563
 Saudi Arabia,2011,946
 Saudi Arabia,2012,n.ap
